"id","player","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"0501","Buffalo Bills","BUF","DST",NA,50,"DST","weighted",106.928242778817,11,3.24206091164228,9.06401283833726,94,112.959763081395,6,-10.8981194495339,151,-1,110,-19.7507814922481,187
"0502","Indianapolis Colts","IND","DST",NA,50,"DST","weighted",107.500830745553,9,0.401415610582916,16.7905756846299,78,113.87747706422,7,-10.325531482798,148,-17,160,-18.8330675094232,183
"0503","Miami Dolphins","MIA","DST",NA,50,"DST","weighted",81.3539528785742,32,NA,13.0730210985063,65,90.5222282608696,17,-36.4724093497765,240,-30,207,-42.1883163127738,266
"0504","New England Patriots","NEP","DST",NA,50,"DST","weighted",115.796616436783,4,2.04524285963979,21.0328519874175,94,133.458101744186,3,-2.02974579156739,110,-1,110,0.74755717054262,101
"0505","New York Jets","NYJ","DST",NA,50,"DST","weighted",100.305231893386,16,2.7356719567735,6.75720423677084,85,99.9673502906977,11,-17.5211303349651,172,-10,131,-32.7431942829457,234
"0506","Cincinnati Bengals","CIN","DST",NA,50,"DST","weighted",87.9279691947468,27,0.547355228773895,18.5578618312207,60,99.9000523255814,15,-29.8983930336039,213,-35,221,-32.810492248062,235
"0507","Cleveland Browns","CLE","DST",NA,50,"DST","weighted",97.101362736434,18,0.716070040288614,16.2410394759065,80,110.750165697674,11,-20.7249994919167,184,-15,154,-21.960378875969,195
"0508","Tennessee Titans","TEN","DST",NA,50,"DST","weighted",104.045385955658,12,2.05190672576515,14.5020025652044,79,110.612201834862,8,-13.7809762726928,162,-16,157,-22.098342738781,197
"0509","Jacksonville Jaguars","JAC","DST",NA,50,"DST","weighted",95.2883485989226,21,0.628439568852855,12.1931908816614,74,100.088473837209,14,-22.538013629428,194,-21,174,-32.6220707364341,232
"0510","Pittsburgh Steelers","PIT","DST",NA,50,"DST","weighted",126.894756629742,1,8.05352150560718,25.6867256543704,95,144.11925872093,1,9.06839440139088,87,0,106,11.4087141472868,83
"0511","Denver Broncos","DEN","DST",NA,50,"DST","weighted",100.564059527806,15,1.39256501271784,7.89412108116885,90,105.657805232558,10,-17.2623027005449,170,-5,120,-27.0527393410853,214
"0512","Kansas City Chiefs","KCC","DST",NA,50,"DST","weighted",107.270587491123,10,1.78377312388534,14.2237055563074,84,115.661656976744,6,-10.555774737228,149,-11,135,-17.0488875968992,177
"0513","Las Vegas Raiders","LVR","DST",NA,50,"DST","weighted",82.3701446094889,31,NA,19.3192446452555,63.8,95.3788226744186,17,-35.4562176188618,237,-31.2,210,-37.3317218992248,251
"0514","Los Angeles Chargers","LAC","DST",NA,50,"DST","weighted",86.9374246939461,30,5.07537594991454,11.4130943044585,67.3,92.4336739130435,15,-30.8889375344046,219,-27.7,199,-40.2768706605999,262
"0515","Seattle Seahawks","SEA","DST",NA,50,"DST","weighted",103.326977778691,13,2.71495767424122,16.6930874261415,81,116.490629360465,9,-14.4993844496595,164,-14,151,-16.2199152131783,172
